source group,target group,source,target,sign,value,certainty,description,reference
SecProc,ES,Peat accumulation,GHG regulation,positive,1,well established,15-30% of the world's soil carbon is stored in peat deposits.,(Limpens et al. 2008)
SecProc,ES,Sedimentation,Nutrient retention,positive,1,well established,Sedimentation retains particles and increases time for nutrient transformation,(Saunders and Kalff 2001; Blann 2009)
SecProc,ES,Water flow storage,Flow regulation,positive,1,well established,Temporary storage of surface flow or flood waters evens out downstream flow volumes and contributes to flood attenuation.,(Brauman et al. 2007; Maltby 2009)
SecProc,ES,Water flow velocity,Flow regulation,negative,1,well established,"Decreased flow velocity dissipates flood energy, favours temporary storage and infiltration",(Maltby 2009)
SecProc,ES,Denitrification,GHG regulation,negative,0.5,uncertain,Production of the potent GHG N2O during denitrification increases with increasing deviation from optimal denitrification conditions,(Verhoeven et al. 2006)
Secondary driver,biochemical trait,High Nutrients,SLA,positive,1,well established,"SLA increases with increasing soil nutrient availability, as well as with increased shade (due to light competition)",(Hodgson et al. 2011)
Secondary driver,structural trait,High Nutrients,Height,positive,1,uncertain,"High nutrient availability tends to increase maximum height (Ordoñez et al. 2010), although this relationship is not always sginificant (Douma et al. 2012)",(Ordoñez et al. 2010)
Secondary driver,structural trait,High Nutrients,Shoot/root,positive,1,well established,Species in environments with high nutrient availability tend to have higher SLA than species in nutrient-poor environments,(Pérez-Harguindeguy et al. 2013)
Secondary driver,biochemical trait,High Nutrients,Root exudates,negative,0.5,well established,Root exudates are primarily triggered by deficiency in nutrients,(Dakora and Phillips. 2002)
Secondary driver,biochemical trait,High Nutrients,N:C,positive,1,well established,High nutrient availability increases N and P concentrations in plant tissue,"(Ordoñez et al. 2009, 2010; Martina & von Ende 2012; Jager et al. 2015)"
Secondary driver,biochemical trait,High pH,Root exudates,undetermined,0.5,well established,"Root exudates can be used as a strategy of plants to affect pH in the rizosphere, e.g. to increase P availability",(Ström et al. 1994; Dakora and Phillips. 2002)
Secondary driver,structural trait,High Wetness,Aerenchyma,positive,1,well established,"Aerenchyma and high root porosity is the major adaptation to flooded, anaerobic soils",(Armstrong et al. 1991; Blom and Voesenek 1996; Douma et al. 2012)
Secondary driver,structural trait,High Wetness,Height,positive,0.5,well established,Emergent species grow tall to stay above the water level; some species exhibit plastic shoot elongation in response to flooding,(Blom and Voesenek 1996)
Secondary driver,structural trait,High Wetness,Clonality,positive,0.5,well established,The proportion of clonal growth species is large in wetlands; particularly rhizomatous growth in permanently wet habitats and reproduction by fragmentation where surface water flow occurs,(Sosnová et al. 2010)
Secondary driver,structural trait,High Wetness,Shoot/root,undetermined,0.5,well established,"Higher flood disturbance level can increase root allocation, or formation of adventitous roots as a plastic response; but root allocation decreases under permanent wetness, and shoot elongation can be a response to longer term stable flooding",(Barrat-Segretain 2001; Douma et al. 2012; Colmer and Voesenek 2009)
Secondary driver,structural trait,High Wetness,Root depth,negative,1,well established,Root depth decreases with increasing permanent wetness,(Douma et al. 2012)
Secondary driver,structural trait,High Wetness,Stem density,negative,0.5,well established,Stem specific density decreases with permanent wetness,(Ordonez et al. 2010; Douma et al. 2012)
Secondary driver,biochemical trait,Low Nutrients,Root exudates,positive,0.5,well established,"Root exudation can be a strategy for mineral acquisition in conditions of low nutrient availability by increasing decomposition rates, enzymatic release of P from organic compounds, and solubilization of unavailable mineral ions",(Dakora and Phillips 2002)
Secondary driver,structural trait,Low Nutrients,Stem density,positive,0.5,well established,Stem specific density tends to increase with decreasing nutrient availability,(Jager et al. 2015)
Secondary driver,structural trait,Low Nutrients,Mycorrhiza,positive,0.5,well established,Mycorrhizal association is more common under conditions of nutrient limitation than in fertile habitats,(Hempel et al 2013)
Secondary driver,structural trait,Low Nutrients,Root depth,positive,0.5,well established,"Increased root depth can be a response to nutrient limitation, increasing forage soil volume",(Bardgett et al. 2014)
Secondary driver,biochemical trait,Low Nutrients,N:C,negative,1,well established,"Under nutrient limitation, species with lower tissue nutrient concentrations are more common; and tissue nutrient concentration respond plastically to nutrient availability",(Ordoñez et al. 2010; Martina & von Ende 2012; Jager et al. 2015)
Secondary driver,structural trait,Low Nutrients,Height,negative,0.5,uncertain,"Low nutrient availability tends to decrease maximum height (Ordoñez et al. 2010), although this relationship is not always sginificant (Douma et al. 2012)",(Ordoñez et al. 2010)
Secondary driver,biochemical trait,Low Nutrients,SLA,negative,1,well established,Low SLA is symptomatic of low soil nutrient availability (although some authors recommend the use of LDMC instead),(Westoby 1998; Laughlin et al. 2010 Fct Ecol; Hodgson et al. 2011)
Secondary driver,biochemical trait,Low pH,CEC,positive,0.5,well established,Species adapted to acidic conditions tend to exhibit high cation exchange capacity (especially mosses),(Turetsky et al. 2010)
Secondary driver,biochemical trait,Low pH,Tissue pH,negative,0.5,uncertain,Low cation availability in acidic soils affects leaf biogeochemistry and lowers tissue pH,(Cornelissen et al. 2011)
Secondary driver,structural trait,Temporary drought,WHC,positive,0.5,well established,Drought tolerant hummock species have higher WHC and shoot density,"(Elumeeva et al. 2011, Michel et al. 2012, Laing et al. 2014)"
Secondary driver,structural trait,Temporary drought,Stem density,positive,0.5,well established,Species adapted to dry conditions tend to have higher stem specific density,(Douma et al. 2012)
Secondary driver,biochemical trait,Temporary drought,WUE,positive,0.5,well established,Species adapted to drought conditions have relatively higher WUE,(Lambers et al. 2008)
Secondary driver,structural trait,High Nutrients,Shoots per area,negative,0.5,uncertain,Increased nutrient availability decreases number of individuals per area,(Weiher et al. 1998)
structural trait,PrimProc,Shoot/root,SWHC,negative,0.5,well established,Root density increases water holding capacity of the soil via increased soil porosity and OM content,(Ehrenfeld et al. 2005; Bardgett et al. 2014).
structural trait,PrimProc,Aerenchyma,Redox potential,positive,1,well established,High root porosity increases radial oxygen loss and soil oxygenation,(Ström et al. 2005; Sutton-Grier et al. 2013)
structural trait,SecProc,Aerenchyma,Methane emission,positive,0.2,well established,"Aerenchyma allows methane to vent to the surface, offsetting to some degree the oxidation of methane by oxygenating the soil.",(Whiting & Chanton 1992; Chapin 1993; Joabsson et al. 1999)
biochemical trait,PrimProc,CEC,Acidification,positive,1,well established,High Cation Exchange Capacity of mosses has traditionally been viewed as causing soil acidification in peatlands through the release of H+,(Clymo 1963; Van Breemen 1995; Turetsky 2003; Ehrenfeld et al. 2005)
structural trait,PrimProc,Clonality,Vegetation rigidity,positive,0.2,uncertain,"Can correlate with higher shoot density which increases flow resistance; rhizomes provide anchorage and resistance to uprooting, and stabilize the soil",(Bouma et al. 2013; Grace 1993; Gurnell 2014)
structural trait,PrimProc,Clonality,SWHC,positive,0.5,well established,"Clonality is associated with higher root allocation, root biomass and density increases water holding capacity of the soil",(Ehrenfeld et al. 2005; Cornelissen et al. 2014).
structural trait,PrimProc,Clonality,Litter,positive,0.5,uncertain,Resorption of nutrients into long-lived clonal organs and high belowground allocation increases soil C input,(Grace 1993; Cornelissen et al. 2014)
structural trait,PrimProc,Height,Vegetation rigidity,positive,1,well established,"Inreased canopy height (and density) decrease down surface flow velocity by mechanical resistance, and increases transpiration",(Tabacchi et al. 2000; Nardin and Edmonds 2014)
structural trait,PrimProc,Height,Vegetation rigidity,undetermined,0.2,uncertain,Intermediate plant height is optimal for sedimentation in deltaic marshes,(Nardin and Edmonds 2014)
structural trait,PrimProc,Height,SWHC,negative,0.2,well established,"In mosses, canopy height correlates negatively with canopy shoot density, and hence water storage ","(Elumeeva et al. 2011, Michel et al. 2012)"
structural trait,PrimProc,Mycorrhiza,Litter,positive,0.5,well established,Mycorrhizal association aids in resource acquisition; mycorrhizal type corresponds to position on plant economic spectrum from fast to slow in order AM > ECM > ERM,(Cornelissen et al. 2001)
structural trait,PrimProc,Mycorrhiza,Decomposition,positive,0.5,well established,Mycorrhizal association aids in litter remineralization; mycorrhizal type corresponds to position on plant economic spectrum from fast to slow in order AM > ECM > ERM,(Cornelissen et al. 2001)
biochemical trait,PrimProc,N:C,Decomposition,positive,1,well established,High tissue nutrient content increases decomposition rate,(Cornwell et al. 2008; De Deyn et al. 2008; Freschet et al. 2010; Reich 2014?)
biochemical trait,PrimProc,N:C,Litter,positive,1,well established,"High tissue nutrient concentrations increases nutrient uptake rates, often positively correlated with RGR, which increases both quantity and quality litter","(Freschet et al. 2010, 2012; Reich 2014)"
structural trait,PrimProc,Root depth,Vegetation rigidity,positive,0.2,well established,"Deep and highly branched roots provide anchorage and resistance to uprooting, and stabilize the soil",(Simon and Collison 2002; Bardgett et al. 2014)
structural trait,PrimProc,Root depth,SWHC,positive,0.5,well established,"Root depth correlates with root allocation and biomass, increases soil porosity and infiltration",(Ehrenfeld et al. 2005; Bardgett et al. 2014)
structural trait,PrimProc,Root depth,Redox potential,positive,0.2,uncertain,Deeper and larger root systems can oxygenate larger volume of soil,(Sutton-Grier et al. 2013)
biochemical trait,PrimProc,Root exudates,Decomposition,positive,0.5,well established,Release of exudates can stimulate heterotrophic respiration and increase decomposition rates,(Fontaine et al. 2004; Bardgett et al. 2014)
biochemical trait,PrimProc,Root exudates,Acidification,undetermined,0.2,uncertain,"Release of organic acid anions can directly acidify the soil; indirect acidification via promotion of weathering by root exudates; depending on species, exudates can also increase soil pH",(Dakora and Phillips 2002; Ehrenfeld et al. 2005)
structural trait,PrimProc,Shoots per area,Vegetation rigidity,positive,1,well established,Increased shoot density poses stronger mechanical resistance to flow  (can be particularly high for clonal plants),(Tabacchi et al. 2000; Bouma et al. 2013)
structural trait,PrimProc,Shoots per area,SWHC,positive,0.5,well established,"In mosses, high canopy shoot density increases water storage within the canopy","(Elumeeva et al. 2011, Michel et al. 2012)"
biochemical trait,PrimProc,SLA,Vegetation rigidity,negative,0.2,well established,1/SLA (=LMA) and leaf toughness per density together determine leaf structural resistance,(Onoda et al. 2011)
biochemical trait,PrimProc,SLA,Litter,positive,1,well established,"Often positive correlate of potential RGR and community NPP; proxy for plant strategy along LES, High biomass and litter production means high quantity of C input for microbial metabolism","(Wright et al. 2004; Pérez-Harguindeguy et al. 2013, Sutton-Grier and Megonigal 2011))"
biochemical trait,PrimProc,SLA,Decomposition,positive,1,well established,Often positive correlate of potential RGR and nutrient content (N:C); proxy for plant strategy along LES; faster decomposition,(Wright et al. 2004; Pérez-Harguindeguy et al. 2013)
structural trait,PrimProc,Stem density,Vegetation rigidity,positive,0.5,well established,Woody plants pose strong mechanical resistance to flow; as does woody debris,(Dosskey et al. 2010)
structural trait,PrimProc,WHC,SWHC,positive,1,well established,Extracellular capillary water holding capacity of denser moss canopies bryophytes retains more water,"(Elumeeva et al. 2011, Michel et al. 2012, Laing et al. 2014)"
structural trait,PrimProc,WHC,Litter,negative,0.5,well established,High individual bryophyte shoot density correlates with lower metabolic rates and growth,(Laing et al. 2014)
structural trait,PrimProc,WHC,Decomposition,negative,0.5,well established,High individual bryophyte shoot density correlates with lower tissue N content and decomposition rates,(Turetsky et al. 2008; Laing et al. 2014)
structural trait,PrimProc,WHC,Acidification,positive,1,uncertain,"Soil acidification might be caused by peat accumulation beyond groundwater, particularly by decomposition resistant hummock species, characterized by high water holding capacity and shoot density",(Granath et al. 2010;  Soudzilovskaja et al. 2010)
biochemical trait,PrimProc,WUE,SWHC,negative,0.2,uncertain,Low Water Use Efficiency and hence high plant water uptake and transpiration rates can increase ET and infiltration ,(Behrendt et al. 2000)
structural trait,PrimProc,Shoot/root,Redox potential,negative,0.5,well established,"Lower shoot/root ratio should promote soil oxygenation via higher root biomass, particularly at high root density",(Fritz et al. 2001)
biochemical trait,PrimProc,Tissue pH,Acidification,negative,0.5,uncertain,"Lower tissue pH correlates with lower litter pH and may relate to soil acidification, and potentially CEC (untested); integrative trait for tissue chemistry","(Cornelissen et al. 2006, 2007, 2011)"
biochemical trait,PrimProc,Tissue pH,Decomposition,positive,0.5,uncertain,"Higher tissue pH correlates with higher N:C, higher litter pH and increased decomposition rates; low pH may also indicate presence of antimicrobial acids","(Cornelissen et al. 2006, 2007, 2011; Freschet et al. 2010, 2012)"
